STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
3616.0,Kalena Agrahara Lake,D,5.6,7.3,344.0,5.0,1.3,330.0,3500.0,36.0,76.0,18.0,76.0,56.0,56.0,17.570666666666668,0.46,92.0,52.0,40.0,14.0,34.0,236.0,19.333333333333332,0.568,0.5,7.0,0.22,42.0,1.53,0.8333333333333334,2025.0
3617.0,Hulimavu Lake,D,5.8,7.0,732.0,6.0,2.4,310.0,3500.0,35.2,268.0,17.6,268.0,84.0,72.0,15.392000000000003,0.4,188.0,100.0,88.0,8.0,70.0,498.0,22.0,0.46,0.5,34.0,0.64,40.0,2.3,1.08,2025.0
3618.0,Singasandra Lake,D,6.7,7.3,335.0,4.0,1.2,240.0,3500.0,34.4,72.0,17.2,72.0,52.0,40.0,13.213333333333335,0.4,80.0,48.0,32.0,13.0,35.0,230.0,16.0,0.62,0.5,6.0,0.21,43.0,1.7,1.5166666666666668,2025.0
3619.0,Begur Tank,D,5.3,7.1,342.0,6.0,1.3,310.0,2100.0,33.6,80.0,16.8,80.0,52.0,64.0,11.034666666666666,0.66,88.0,48.0,40.0,14.0,33.0,234.0,26.0,0.78,0.5,7.0,0.24,42.0,1.53,1.9533333333333336,2025.0
3620.0,Parappana Agrahara Lake,D,6.2,8.1,778.0,5.0,2.99,390.0,5400.0,32.8,240.0,16.4,240.0,116.0,48.0,8.856000000000002,0.4,220.0,145.0,75.0,17.7,94.0,524.0,36.0,0.94,0.5,27.0,0.42,44.0,2.76,2.39,2025.0
3621.0,Haralur Lake,D,5.8,8.5,582.0,6.0,2.2,310.0,2800.0,32.0,108.0,16.0,124.0,144.0,76.0,6.677333333333337,0.4,120.0,60.0,60.0,9.0,64.0,396.0,240.0,0.845,0.5,7.0,0.42,51.0,2.5,0.42,2025.0
3622.0,Somasundrapalya Lake,D,5.6,8.0,492.0,6.0,1.8,26.0,350.0,32.0,160.0,16.0,160.0,92.0,72.0,4.498666666666669,0.87,148.0,80.0,68.0,40.0,63.0,324.0,70.0,0.75,0.5,14.0,0.26,45.0,2.2,1.77,2025.0
3623.0,Anekal Doddakere Tank,E,3.0,7.7,1564.0,33.0,6.0,330.0,1700.0,32.0,284.0,16.0,284.0,396.0,168.0,2.32,1.82,388.0,200.0,188.0,37.0,150.0,1064.0,28.0,2.39,0.5,12.0,0.42,44.0,3.4,5.63,2025.0
3624.0,Puttenahalli Lake,E,3.5,7.0,567.0,15.0,2.4,240.0,3500.0,32.0,136.0,16.0,136.0,96.0,98.0,2.0,1.6,156.0,84.0,72.0,23.0,55.0,386.0,22.0,1.8675000000000002,0.5,11.0,0.38,41.0,1.92,2.965,2025.0
3625.0,Hebbal Lake,D,5.3,8.0,438.0,7.0,1.7,270.0,3500.0,32.0,124.0,16.0,124.0,76.0,76.0,2.0125,0.4,144.0,72.0,72.0,6.5,48.0,302.0,25.0,1.345,0.5,5.0,0.26,41.0,1.7,0.3,2025.0
3626.0,Nagavara Lake,D,5.9,7.0,449.0,5.0,1.72,250.0,1500.0,32.0,136.0,16.0,136.0,72.0,52.0,2.025,0.4,164.0,92.0,72.0,11.0,49.0,304.0,28.0,0.8224999999999998,0.5,9.0,0.25,37.0,1.65,0.4,2025.0
3627.0,Jakkur Lake,D,6.3,6.7,608.0,4.0,2.33,320.0,2200.0,32.0,152.0,16.0,152.0,100.0,48.0,2.0375,0.4,168.0,90.0,78.0,18.0,71.0,416.0,30.0,0.3,0.5,15.0,0.34,45.0,2.37,0.7,2025.0
3628.0,Amruthahalli Lake,D,5.8,8.0,423.0,5.0,1.62,220.0,2400.0,32.0,124.0,16.0,124.0,76.0,56.0,2.05,0.4,128.0,70.0,58.0,11.0,55.0,286.0,44.0,0.27,0.5,9.0,0.22,46.0,2.1,0.68,2025.0
3629.0,Allalasandra Lake,D,5.1,8.2,512.0,4.0,1.97,330.0,5400.0,32.0,112.0,16.0,112.0,68.0,48.0,2.0625,0.4,128.0,70.0,58.0,19.0,61.0,344.0,94.0,0.31,0.5,9.0,0.255,48.0,2.34,0.73,2025.0
3630.0,Yelahanka Tank,D,4.5,6.8,502.0,8.0,1.93,230.0,1700.0,32.0,132.0,16.0,132.0,88.0,80.0,2.075,0.74,152.0,82.0,70.0,12.0,65.0,338.0,32.0,0.28,0.5,14.0,0.29,45.0,2.3,0.71,2025.0
3633.0,Subramanyapura Tank,E,3.0,7.7,746.0,17.0,2.6,2600.0,9400.0,32.0,164.0,16.0,164.0,80.0,120.0,2.0875,0.82,172.0,92.0,80.0,24.0,53.0,500.0,29.333333333333332,0.26,0.5,4.0,0.21,3.0,1.75,0.51,2025.0
3634.0,Devarakere Tank,E,2.2,6.8,284.0,41.0,0.95,260.0,1400.0,32.0,84.0,16.0,84.0,28.0,216.0,2.1,1.6,96.0,56.0,40.0,9.0,25.0,190.0,26.666666666666668,0.24,0.5,7.0,0.265,34.0,0.35,0.67,2025.0
3635.0,Malathahalli Lake,D,4.6,6.9,542.0,7.0,1.8,210.0,1100.0,32.0,176.0,16.0,176.0,28.0,76.0,2.8,0.78,172.0,92.0,80.0,27.0,36.0,368.0,24.0,0.315,0.5,2.0,0.32,31.0,1.19,0.4,2025.0
3636.0,Hoskere Lake,E,2.2,6.8,342.0,13.0,1.3,260.0,1500.0,32.0,76.0,16.0,76.0,52.0,124.0,3.5,3.2,88.0,48.0,40.0,14.0,32.0,232.0,18.0,0.39,0.5,7.0,0.26,41.0,1.48,1.12,2025.0
3638.0,Yelachenahalli Lake,D,5.4,7.3,326.0,8.0,1.2,310.0,2800.0,32.0,112.0,16.0,112.0,52.0,92.0,3.3666666666666667,0.4,88.0,44.0,44.0,12.5,34.0,222.0,12.0,0.33666666666666667,0.5,4.0,0.305,44.0,1.6,0.6300000000000001,2025.0
3639.0,Kengeri Tank,D,7.3,8.2,550.0,5.0,2.11,320.0,1500.0,32.0,192.0,16.0,192.0,72.0,48.0,3.2333333333333334,0.4,140.0,95.0,45.0,11.0,70.0,338.0,49.0,0.2833333333333333,0.5,2.0,0.35,52.0,2.57,0.14,2025.0
3640.0,Uttarahalli Doraikere,E,2.6,7.8,212.0,27.0,0.67,380.0,4300.0,32.0,72.0,16.0,72.0,16.0,192.0,3.1,2.4,76.0,44.0,32.0,10.0,12.0,142.0,86.0,0.23,0.5,6.0,0.3833333333333333,23.0,0.18,0.64,2025.0
3641.0,Dhorekere Tank,E,2.4,7.5,250.0,42.0,0.9,210.0,2200.0,32.0,88.0,16.0,88.0,16.0,228.0,2.86,1.4,88.0,52.0,36.0,155.0,16.0,168.0,68.0,0.42,0.5,6.0,0.4166666666666667,26.0,0.23,1.1,2025.0
3642.0,Jigani Tank,D,5.2,7.4,923.0,8.0,3.54,210.0,1200.0,32.0,248.0,16.0,248.0,200.0,80.0,2.62,0.4,236.0,124.0,112.0,23.0,105.0,632.0,42.0,1.0,0.5,21.0,0.45,46.0,3.0,2.38,2025.0
