STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
4541.0,Alur Lake,D,6.1,6.8,239.0,4.0,0.56,230.0,2400.0,40.55172413793103,76.0,20.275862068965516,76.0,8.0,40.0,3.583333333333334,0.4,56.0,32.0,24.0,10.5,6.0,162.0,13.333333333333334,0.33,0.5,6.5,0.24,18.0,0.35,0.61,2025.0
4542.0,Basavanapura Lake,D,4.6,6.9,300.0,8.0,1.3,220.0,2400.0,41.37931034482759,40.0,20.689655172413794,40.0,40.0,92.0,4.966666666666667,0.62,84.0,48.0,36.0,9.0,37.0,202.0,12.666666666666666,0.38,0.5,11.0,0.22,45.0,1.8,0.4,2025.0
4543.0,Kodi Singasandra Lake,D,5.6,7.1,692.0,6.0,2.5,430.0,4300.0,42.20689655172414,160.0,21.10344827586207,160.0,76.0,56.0,6.3500000000000005,0.4,136.0,72.0,64.0,27.0,50.0,466.0,12.0,0.43,0.5,3.0,0.48,43.0,1.87,0.32,2025.0
4544.0,Kothanuru Lake,D,6.0,7.0,443.0,4.0,1.7,1700.0,7900.0,43.03448275862069,128.0,21.517241379310345,128.0,64.0,48.0,7.733333333333334,0.4,132.0,72.0,60.0,29.0,45.0,308.0,67.5,0.48,0.5,9.0,0.47,40.0,1.7,0.35,2025.0
4547.0,Mangamanapalya Lake(Swarana Kunte),D,5.9,7.0,691.0,4.0,2.5,140.0,2400.0,43.86206896551724,156.0,21.93103448275862,156.0,80.0,40.0,9.116666666666667,0.4,140.0,76.0,64.0,26.0,51.0,466.0,123.0,0.53,0.5,3.0,0.46,43.0,1.87,0.3,2025.0
5558.0,"Kannahalli Lake Kannahalli, Bengaluru",E,1.3,6.6,1233.0,28.0,4.57,220.0,2400.0,44.689655172413794,332.0,22.344827586206897,332.0,172.0,200.0,10.5,7.9,380.0,196.0,184.0,25.0,110.0,812.0,178.5,0.58,0.5,25.0,0.3,37.0,2.5,1.6,2025.0
5559.0,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",E,1.3,6.7,569.0,66.0,2.18,3800.0,15000.0,45.51724137931035,220.0,22.758620689655174,220.0,88.0,224.0,6.63,5.1,176.0,92.0,84.0,9.0,54.0,388.0,234.0,2.62,0.5,13.0,0.29000000000000004,38.0,1.7,6.19,2025.0
5560.0,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",D,4.7,7.3,773.0,7.0,3.1,3100.0,9400.0,46.3448275862069,176.0,23.17241379310345,176.0,116.0,72.0,5.215,0.85,216.0,112.0,104.0,28.0,69.0,522.0,24.0,0.72,0.5,5.0,0.28,40.0,2.05,1.95,2025.0
5561.0,"Munekolalu Lake ,Marathahalli, East Taluka
,Bengaluru",E,3.1,7.2,1203.0,13.0,4.5,270.0,2400.0,47.172413793103445,280.0,23.586206896551722,280.0,200.0,124.0,3.8,3.4,324.0,172.0,152.0,49.0,118.0,822.0,12.0,0.45,0.5,23.0,0.29,42.0,2.85,1.34,2025.0
5562.0,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka",D,6.1,8.5,397.0,4.0,1.5,210.0,3500.0,48.0,104.0,24.0,128.0,80.0,48.0,3.9666666666666663,0.4,80.0,40.0,40.0,6.0,42.0,275.0,54.0,0.4,0.5,5.0,0.25,51.0,2.0,0.92,2025.0
