LAKE_NAME,DATE,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Byappanahalli,04/25,0.0219900000840425,0.0381199993193149,0.0231199998408556,0.033730000257492,0.0268100000917911,0.0345800001174211,0.0282400000840425,0.0290099993348121,0.0450800001621246,0.029619999974966,0.0011689313107271,0.0012859233925512,0.0013302631684455,0.002707693557575,0.0055896685072827,0.0115881665584114,0.0023904806528532,0.004868511091815,0.0053476718694399,0.0040211434734703,5.0,0.1485328570008278,-0.2433268070220947,0.1435702711343765,0.0422949999570846,0.8733837215033222,0.0450800001621246,31.3771428571429,25.70989252726241,,4.3123971186837175e-05
Kowdenahalli,04/25,0.0343160001933574,0.0600600001215934,0.0315799999982118,0.0799240005016326,0.0565280002355575,0.0615260002017021,0.0467940002679824,0.0336980003863573,0.0201000002399086,0.0157760001346468,0.0055429006214179,0.0059521429606162,0.0064431045327457,0.0039769625515937,0.0054070711608247,0.0038978745700624,0.0053417662436758,0.0057625773524342,0.0039067121281709,0.0019502369567431,25.0,0.4387343168258667,-0.316201137304306,0.1248206070065498,0.0400800003111362,3.0362176534127254,0.0201000002399086,31.56444444444448,25.70989252726241,,4.5576092249983265e-05
Krishnarajapuram,04/25,0.0597240739260558,0.1021648154214576,0.0696981482345748,0.1231768523101453,0.0823768522866346,0.0870620371014983,0.0684416668696536,0.0576787034946459,0.0447277780277309,0.0343944445528365,0.0101256624460789,0.0103407609005823,0.0163650745574773,0.0129532799686796,0.0121989701093957,0.0147718980196754,0.0112083913527411,0.0149809212330877,0.0145176865765715,0.0113037468730968,54.0,0.262386721731336,-0.1866708584474744,0.1910155419674184,0.0733856484293937,2.4210562087763745,0.0447277780277309,31.27195121951224,,,2.167500801365903e-05
Basavanapura,04/25,0.0226269232180829,0.0352855768556205,0.0233480769675225,0.0404673077954122,0.0272500001682111,0.0296423077368392,0.0236961539440716,0.0221625000256328,0.0335144230809349,0.0285221153440383,0.0086807780996118,0.0065336431107379,0.0054899819045451,0.0059424312135714,0.0091878840335584,0.0100993783584978,0.0058810308137542,0.0084508526182398,0.0088367257751985,0.0067202578300276,52.0,0.2787464232398913,-0.1935372491582082,0.1757054528078207,0.0335278848830897,1.0945521361287514,0.0335144230809349,30.83000000000004,,,2.1944131030973607e-05
Shegehalli,04/25,0.0374814293480531,0.0565415846606429,0.0339472650075966,0.063486988714605,0.0422921016647382,0.0448429327161143,0.0339746476951618,0.0269142399019934,0.0296514571007433,0.0245714053980869,0.0036220543513258,0.0028045574621509,0.0039688227015775,0.0037550838787806,0.0065560888696209,0.0083974160516985,0.0055941986155783,0.0101729249987108,0.0062446210443401,0.0037471200659162,140.0,0.3204583545643834,-0.2546992335994152,0.2170570839248118,0.0414265338376872,1.9149104479560632,0.0296514571007433,30.57578947368425,,,2.3647530820580788e-05
Mangamanapalya,04/25,0.0347617648761062,0.0436411762938779,0.0315617648336817,0.0465970587204484,0.0354058822507367,0.0401794113876188,0.0332705882542273,0.032317647272173,0.0337382354499662,0.0264352941337753,0.0095649719015237,0.0067934275498211,0.0057683857029748,0.0054588957507649,0.0092988755213533,0.0112642723024234,0.0057136076838503,0.0095937778809949,0.0053396283889884,0.0033902874504047,17.0,0.2079241231960409,-0.1833323722376543,0.1602881292209905,0.0392750000909847,1.2454198490973434,0.0337382354499662,32.29000000000002,,,1.5147241085433873e-05
Hoodi,04/25,0.0380363638766787,0.0786318186331879,0.0516863636333834,0.0860454538329081,0.0524113634601235,0.0589431820606643,0.0469340907240455,0.0433818181468681,0.0515363633801991,0.0380340910262682,0.0059087601147717,0.0054016740970708,0.0061495225937917,0.007647845201594,0.013046803100112,0.0147243946634922,0.0103004128702374,0.0158644792385936,0.0137465130630007,0.0090158112880624,22.0,0.2562534165653315,-0.2104261747815392,0.2677349563349377,0.0655386364934119,1.639676723335188,0.0515363633801991,31.33000000000004,,,2.3345485857926907e-05
Jimkenahalli,04/25,0.0486393096040428,0.0815721938321753,0.0551624019033412,0.0891370648093831,0.0583892819501969,0.0632210156548973,0.0519322957300009,0.0524176208231301,0.0662416670195482,0.0520536195733464,0.0048710966691986,0.0070563368983758,0.0068084829242582,0.0091388714203311,0.0114229244865913,0.013552612504522,0.0072041139440542,0.0157475164483032,0.019441014502115,0.0142256097130457,35.0,0.2288868401187036,-0.193160412245661,0.2209377274686506,0.0750166530397905,1.421820421466289,0.0662416670195482,31.480000000000015,,,1.9220475639769963e-05
Kodigehalli,04/25,0.0510317132206723,0.0866743144301669,0.0518930353086774,0.0690717642391259,0.0375037784679492,0.0393598542355921,0.0301517476279106,0.0282310820313889,0.0407696057527074,0.0327522683768645,0.0053026421170369,0.0053735354854454,0.0075269772320915,0.0129239554621117,0.017277367791997,0.0184377764873002,0.0137679105657989,0.0178363800290695,0.0175113053940795,0.012321287856484,333.0,0.1419118254472159,-0.2610352414413628,0.5056152856376807,0.062362114465103,2.2740311517710348,0.0407696057527074,31.35913043478264,,,2.3216440271278517e-05
Gangashetty,04/25,0.0804933339357376,0.1423700004816055,0.096996666987737,0.1738600025574366,0.1305300002296765,0.1360800007979075,0.1117600003878275,0.0895133331418037,0.0378733330716689,0.0282566666603088,0.0031471073267364,0.0016881748053781,0.0023957918301548,0.0035942628529465,0.0067514379601946,0.0055195934663378,0.002558136401838,0.0094665812478003,0.0118634009695388,0.007931726566561,15.0,0.2836555639902751,-0.1896528879801432,0.1205436651905377,0.0901216665903727,4.1539603938824055,0.0378733330716689,31.370000000000005,,,3.493736382087284e-05
