Parameter (Heading),Count,Presence (%),Missing In
Ca,5,20.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, October-24.csv, May-25.csv, August-25.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, December-23.csv, March-25.csv"
Iron (mg/L),5,20.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
BOD (mg/L),5,20.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-25.csv, May-25.csv, March-24.csv, September-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, April-24.csv, December-23.csv, March-25.csv"
Sl.No,4,16.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, July-23.csv, January-25.csv, July-24.csv, September-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Carbonate (CO3-) (mg/L),4,16.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, March-25.csv"
"Total Dissolved Solids
(mg/L)",4,16.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Temperature°C,4,16.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, March-24.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Conductivity (&micro;mho/ cm),4,16.0,"August-23.csv, June-25.csv, September-23.csv, July-23.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv"
Manganese (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Zinc (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Cadmium (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Nickel (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Chromium Total (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Copper (mg/L),4,16.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Lead (mg/L),3,12.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Bicarbonate (HCO3-) (mg/L),3,12.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, March-25.csv"
"Fecal Streptococci (MPN/
100ml)",3,12.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, April-24.csv, December-23.csv"
"Carbonate (CO3-
) (mg/L)",3,12.0,"July-25.csv, April-25.csv, June-25.csv, September-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Turbidity (NTU),3,12.0,"July-25.csv, April-25.csv, August-23.csv, September-23.csv, July-23.csv, July-24.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Conductivi
ty (&micro; mho/cm)",2,8.0,"July-25.csv, April-25.csv, June-25.csv, September-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Ammonical- N (mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Carbonate (CO3-)(mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Phenolpthalein Alkalinity,2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Total
Dissolved Solids (mg/L)",2,8.0,"July-25.csv, April-25.csv, June-25.csv, September-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Phenolphthalein Alkalinity
(mg/L)",2,8.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Total Suspended Solids
(mg/L)",2,8.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Conductivity (&micro; mho/cm),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, November-25.csv, June-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Calcium as Ca (mg/L),2,8.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Sl. No,2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, September-25.csv, November-25.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Temperature
°C",2,8.0,"July-25.csv, April-25.csv, August-23.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv"
"Conductivity (&micro;mho
/cm)",2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Fecal Streptococci (MPN/10
0ml)",2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Mg as Ca (mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Ca as Ca (mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Sl.
No.",2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Conductivity (&micro;mh o/cm),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, September-24.csv, October-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Ammonical N (mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, September-24.csv, October-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Ammonic al-N (mg/L),2,8.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, April-24.csv, December-23.csv, March-25.csv"
"Total Kjeldahl Nitrogen
(mg/L)",2,8.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Saprobity Index,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, April-24.csv, December-23.csv, March-25.csv"
COD (mg/L),1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Total Suspended Solids  (mg/L),1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, December-23.csv, March-25.csv"
"Fecal Streptoco cci (MPN/
100ml)",1,4.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Temperature in o C,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Conductivity (micro;mho/c m),1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Temperature °C,1,4.0,"July-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Total Dissolved Solids  (mg/L),1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, December-23.csv, March-25.csv"
Total Dissolved Solids,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Lead (mg/L
)",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Total Dissolved
Solids (mg/L)",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Total Kjeldahl Nitrogen,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Temperature
˚C",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Temperature ( oC),1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Diversity Index,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, April-24.csv, December-23.csv, March-25.csv"
"Temperature
0C",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Temperature° C,1,4.0,"April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Ammonical
-N (mg/L)",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Sodium Percentage
%",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Sampling
Month",1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Conductivity (&micro;mho/c m),1,4.0,"July-25.csv, April-25.csv, August-23.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
"Fecal Streptococci (MPN/100ml
)",1,4.0,"July-25.csv, April-25.csv, August-23.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, March-24.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
Tempe rature,1,4.0,"July-25.csv, April-25.csv, August-23.csv, June-25.csv, September-23.csv, July-23.csv, January-25.csv, July-24.csv, February-25.csv, September-24.csv, October-24.csv, October-25.csv, May-25.csv, August-25.csv, September-25.csv, November-25.csv, June-24.csv, May-24.csv, August-24.csv, October-23.csv, December-24.csv, April-24.csv, December-23.csv, March-25.csv"
