LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count
Halagevaderahalli kere-2,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Herohalli Thotadakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Hosakerehalli Kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kempambudhi lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Laggeri Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Mallathahalli Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Moge kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Muppatu Kavalu Hosa Kere,08/23,1,0.04943969574111391,0.06357629997735136,0.044940063693457453,0.07697055013870567,0.05406043815877791,0.05875666077651448,0.05005176353296189,0.04760239061734637,0.048530586093126195,0.038428631158660485,0.0012938691724825814,0.0016350281637080052,0.0012875945150966736,0.001901749055143877,0.0022074646727760472,0.0033569480139530317,0.0014613004402509254,0.003351799838978529,0.002411762035946968,0.0018442425714539697,24
Nayandanahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Sankey Tank,08/23,1,0.034285814198670675,0.04709267539019045,0.03403130873599574,0.039293561749062345,0.02899703121810023,0.03426752722271799,0.03146328272383364,0.03385933377312044,0.042319966259239075,0.03374676689700275,0.004368763043236866,0.0047318571071980784,0.004830259186300682,0.005716024194212122,0.005809328285684557,0.006443435326094309,0.005618233046607743,0.006845445351547452,0.00792257704329135,0.0069269656508099235,222
Subramhanyapura kere,08/23,1,0.08955999910831451,0.11929999887943268,0.08417999893426895,0.11878000050783158,0.0876599982380867,0.09317999929189683,0.07847999930381774,0.08181999921798706,0.08337999880313873,0.06953999996185303,0.0026985933344062223,0.0024413110655284306,0.003315056651338329,0.003897385257197735,0.01033297648670691,0.015010582429875078,0.005302225984330596,0.0109855171754045,0.013150421011422258,0.01321810898235635,5
Ullalu lake-2,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Valagerehalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Yediyur kere,08/23,1,0.07747777965333727,0.12474444342984094,0.07445555594232348,0.1282888882690006,0.08531111147668627,0.08945555571052763,0.07673333254125383,0.07290000013179249,0.058855555951595306,0.04654444464378887,0.0015540463161972458,0.0025113561573369887,0.0011196330094837028,0.0023562890441811814,0.010215178645612942,0.010058617334912432,0.005634418098705665,0.012537588273287503,0.008212336832484724,0.0034512839532572755,9
Bhimmanakuppe Govt lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Srigandhakavalu Karabu Katte,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Janaradhan kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Konashetty kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
