LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Mylasandra Dodda Agrahara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.161875000000048,,11.063623205549638,
Arekere Govt. lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.07000000000005,,11.063623205549638,
Hulimavu Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27538461538463,22.818760172526083,11.063623205549638,
Akashaya nagar Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottigere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27793103448277,,12.830623402905987,
Kothanaru Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36857142857146,,12.830623402905987,
RBI layout kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.67500000000004,,12.830623402905987,
Chunchanaghatta Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.410000000000025,,12.830623402905987,
Alahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.840000000000032,,12.830623402905987,
Kembathahali kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.110000000000014,,12.830623402905987,
Doddakallasandra  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15187500000002,,12.830623402905987,
Konanakunte  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.362000000000045,,12.830623402905987,
Thalagattapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.310000000000002,,12.830623402905987,
Vajarahalli Govt.Katte,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harohalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.741578947368474,,34.13089629323192,
Puttenahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.185625000000044,,34.13089629323192,
Chellakere kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53000000000003,,26.377012683081453,
Horamavu Agara,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.127073170731737,,26.377012683081453,
Horamavu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.882857142857148,,26.377012683081453,
Kalkere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99065789473689,,26.377012683081453,
Nagareshvara Nagenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.250000000000057,,26.377012683081453,
Rampura Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.150571428571446,,26.377012683081453,
