LAKE_NAME,DATE,NDCI_Chla,NDTI,NDWI,NDSSI,IMAGE_COUNT
Mallathahalli Lake,04/24,0.07834773209,0.1714454103,-0.3252779555,-0.4755489665,7
Moge kere,04/24,0.2065976532,0.001548227393,-0.4101511062,-0.5782985448,7
Muppatu Kavalu Hosa Kere,04/24,0.06135108515,0.1501597306,-0.2652906448,-0.4190962312,7
Nayandanahalli kere,04/24,0.2141293207,-0.1649921885,0.03356081977,-0.1518224127,7
Sankey Tank,04/24,0.1220167764,-0.1723799631,0.3589687074,0.2238629571,7
Subramhanyapura kere,04/24,0.3771078784,-0.2084554739,0.01302373956,-0.3937311308,7
Ullalu lake-2,04/24,0.1161950712,0.1619674062,-0.4241734867,-0.5602473548,7
Valagerehalli kere,04/24,0.06134600183,0.1367668061,-0.2663566485,-0.4182816254,7
Yediyur kere,04/24,0.444701849,-0.2811659107,-0.1407091925,-0.5095987388,7
Bhimmanakuppe Govt lake,04/24,0.165825532,0.05497211266,-0.382619928,-0.5602068238,7
Srigandhakavalu Karabu Katte,04/24,0.07833647139,0.1369482748,-0.2984585254,-0.4403110585,7
Janaradhan kere,04/24,0.2016129612,0.054564283,-0.5345420606,-0.6769681164,7
Konashetty kere,04/24,0.08233177769,0.1614019678,-0.3185337243,-0.4771289178,7
Nagarabhavi (Un-named Lake on map),04/24,0.07966826965,0.1673942458,-0.3364289461,-0.5032009279,7
Sompura Govt.lake,04/24,0.1400218383,0.06147003784,-0.2635998914,-0.4329089277,7
Lakshmipura Lake,04/24,0.1869281143,-0.02462448186,-0.1790221001,-0.3966012899,7
Amrutnagar Lake,04/24,0.1629197975,-0.1017216471,0.07224562263,-0.1276876014,7
Hoysalanagara Lake,04/24,0.1364162701,0.04565341559,-0.2393003694,-0.4310129899,7
Basavanagar Lake,04/24,0.09561236347,0.0952811734,-0.3010735736,-0.4491575914,7
Ajjegowdana katte,04/24,0.1154946928,0.08633336002,-0.3868609058,-0.5198622657,7
Kodigehalli kere,04/24,0.2405232858,-0.05442638593,-0.2679532591,-0.4005166502,7
Kommaghatta Govt. Lake,04/24,0.4116550627,-0.2809298287,-0.07050394504,-0.2823011217,7
Manganahalli Lake,04/24,0.05407423339,-0.3049713089,0.5488405008,0.3551692337,7
Bhattarahalli kere,04/24,0.1372647814,-0.2381691305,0.3858097749,0.04147447717,7
Thirumenahalli lake,04/24,0.2151890358,-0.004756211601,-0.3537803649,-0.548628805,7
Avalahali kere,04/24,0.3922925194,-0.2313328607,-0.3333562446,-0.4793547967,7
Begur Lake,04/24,0.3063167259,-0.1089890988,-0.1957064765,-0.3636787843,7
meenakshi lake,04/24,0.2784370706,-0.1329092822,-0.02823853666,-0.2637797438,7
Kannuru kere,04/24,0.2622767949,-0.1591939397,0.2028859289,-0.1379536155,7
Kannuru kere,04/24,0.2622767949,-0.1591939397,0.2028859289,-0.1379536155,7
Doddagubbi kere,04/24,0.1164051004,0.02132070376,-0.09628834345,-0.2783330512,7
Suggata kere,04/24,0.1804694657,0.03445297656,-0.2748531978,-0.4903225295,7
Yelahanka Lake,04/24,0.1844760107,-0.1484527452,0.2045339502,0.09072648057,7
Dodda Bommasandra Lake,04/24,0.356520147,-0.1554110118,-0.1426298862,-0.4272640925,7
Singapura lake,04/24,0.1182292123,0.1187282775,-0.4221204863,-0.6023079717,7
Chellaghatta kere,04/24,0.2911313242,-0.09242023229,-0.5557506884,-0.6923774532,7
Bellandur Amanikere,04/24,0.1909157979,0.02155245792,-0.3721647889,-0.5434870516,7
Abbigere Kere,04/24,0.1220723947,0.1261437101,-0.4032423392,-0.5648198451,7
